order_id,order_date,customer_id,product_id,province,category,channel,payment_id,payment_method,payment_status,quantity,unit_price,discount,net_sales,source_file
ORD000083,2026-01-17 01:19:00,C0070,P021,เชียงใหม่,Smart Home,Web,PAY000083,PromptPay,PAID,1,25900.0,0.0,25900.0,orders_2026_01.csv
ORD000084,2026-01-27 07:52:00,C0132,P026,ชลบุรี,Smart Home,Web,PAY000084,PromptPay,PAID,1,11610.0,0.0,11610.0,orders_2026_01.csv
ORD000085,2026-01-20 05:05:00,C0145,P003,ภูเก็ต,Smartphone,Mobile App,PAY000085,Credit Card,PAID,2,24605.0,0.0,49210.0,orders_2026_01.csv
ORD000086,2026-01-22 09:30:00,C0038,P015,ชลบุรี,Notebook,Web,PAY000086,Bank Transfer,PAID,4,269.1,0.0,1076.4,orders_2026_01.csv
ORD000087,2026-01-25 05:31:00,C0068,P001,ขอนแก่น,Notebook,Web,PAY000087,Credit Card,PAID,3,299.0,0.0,897.0,orders_2026_01.csv
ORD000088,2026-01-28 21:16:00,C0118,P024,ระยอง,Accessory,Web,PAY000088,PromptPay,PAID,2,284.05,0.1,511.29,orders_2026_01.csv
ORD000089,2026-01-26 04:55:00,C0070,P026,เชียงใหม่,Smart Home,Web,PAY000089,PromptPay,PAID,1,12900.0,0.0,12900.0,orders_2026_01.csv
ORD000090,2026-01-19 00:37:00,C0083,P038,ขอนแก่น,Smartphone,Marketplace,PAY000090,Bank Transfer,PAID,1,12900.0,0.0,12900.0,orders_2026_01.csv
ORD000091,2026-01-18 10:20:00,C0156,P037,กรุงเทพมหานคร,Smart Home,Mobile App,PAY000091,PromptPay,PAID,1,25900.0,0.05,24605.0,orders_2026_01.csv
ORD000092,2026-01-16 20:33:00,C0086,P006,กรุงเทพมหานคร,Accessory,Web,PAY000092,Credit Card,PAID,1,313.95,0.0,313.95,orders_2026_01.csv
ORD000094,2026-01-05 03:21:00,C0014,P012,ขอนแก่น,Accessory,Marketplace,PAY000094,Bank Transfer,PAID,1,1039.5,0.1,935.55,orders_2026_01.csv
ORD000095,2026-01-01 19:36:00,C0062,P020,ระยอง,Smart Home,Web,PAY000095,Credit Card,PAID,2,499.0,0.0,998.0,orders_2026_01.csv
ORD000096,2026-01-26 20:50:00,C0090,P024,เชียงใหม่,Accessory,Mobile App,PAY000096,Credit Card,PAID,2,284.05,0.0,568.1,orders_2026_01.csv
ORD000097,2026-01-16 01:11:00,C0008,P009,ขอนแก่น,Notebook,Marketplace,PAY000097,PromptPay,PAID,4,299.0,0.0,1196.0,orders_2026_01.csv
ORD000098,2026-01-14 04:53:00,C0099,P016,ขอนแก่น,Accessory,Marketplace,PAY000098,Credit Card,PAID,2,1490.0,0.1,2682.0,orders_2026_01.csv
ORD000099,2026-01-24 06:51:00,C0136,P039,ระยอง,Notebook,Mobile App,PAY000099,PromptPay,PAID,3,1039.5,0.0,3118.5,orders_2026_01.csv
ORD000100,2026-01-05 13:19:00,C0014,P038,ขอนแก่น,Smartphone,Mobile App,PAY000100,Bank Transfer,PAID,2,13545.0,0.0,27090.0,orders_2026_01.csv
ORD000102,2026-01-05 07:29:00,C0078,P002,ระยอง,Smartphone,Mobile App,PAY000102,Bank Transfer,PAID,4,1341.0,0.05,5095.8,orders_2026_01.csv
ORD000103,2026-01-11 07:18:00,C0079,P014,ภูเก็ต,Notebook,Web,PAY000103,Credit Card,PAID,1,940.5,0.1,846.45,orders_2026_01.csv
ORD000104,2026-01-13 17:48:00,C0157,P036,ระยอง,Notebook,Marketplace,PAY000104,Credit Card,PAID,2,299.0,0.1,538.2,orders_2026_01.csv
ORD000105,2026-01-07 02:25:00,C0099,P002,ขอนแก่น,Smartphone,Mobile App,PAY000105,Credit Card,PAID,2,1341.0,0.1,2413.8,orders_2026_01.csv
ORD000107,2026-01-23 21:07:00,C0065,P023,ขอนแก่น,Accessory,Web,PAY000107,Credit Card,PAID,2,299.0,0.0,598.0,orders_2026_01.csv
ORD000108,2026-01-17 22:05:00,C0138,P029,กรุงเทพมหานคร,Notebook,Web,PAY000108,Credit Card,PAID,4,3990.0,0.0,15960.0,orders_2026_01.csv
ORD000109,2026-01-19 03:38:00,C0140,P033,ภูเก็ต,Smart Home,Web,PAY000109,Credit Card,PAID,1,13545.0,0.0,13545.0,orders_2026_01.csv
ORD000110,2026-01-27 22:29:00,C0066,P002,ระยอง,Smartphone,Marketplace,PAY000110,PromptPay,PAID,3,1341.0,0.0,4023.0,orders_2026_01.csv
ORD000111,2026-01-04 17:27:00,C0146,P008,กรุงเทพมหานคร,Accessory,Mobile App,PAY000111,Credit Card,PAID,3,449.1,0.0,1347.3,orders_2026_01.csv
ORD000113,2026-01-03 06:56:00,C0024,P027,กรุงเทพมหานคร,Smartphone,Mobile App,PAY000113,Bank Transfer,PAID,3,24605.0,0.0,73815.0,orders_2026_01.csv
ORD000114,2026-01-01 13:09:00,C0050,P014,เชียงใหม่,Notebook,Web,PAY000114,PromptPay,PAID,3,1039.5,0.0,3118.5,orders_2026_01.csv
ORD000115,2026-01-21 07:56:00,C0085,P009,กรุงเทพมหานคร,Notebook,Mobile App,PAY000115,Bank Transfer,PAID,4,313.95,0.0,1255.8,orders_2026_01.csv
ORD000116,2026-01-24 08:29:00,C0073,P002,ขอนแก่น,Smartphone,Web,PAY000116,Bank Transfer,PAID,4,1341.0,0.0,5364.0,orders_2026_01.csv
ORD000117,2026-01-09 09:51:00,C0012,P016,ขอนแก่น,Accessory,Marketplace,PAY000117,Bank Transfer,PAID,1,1415.5,0.0,1415.5,orders_2026_01.csv
ORD000118,2026-01-21 07:02:00,C0075,P025,ระยอง,Accessory,Web,PAY000118,Bank Transfer,PAID,1,23310.0,0.05,22144.5,orders_2026_01.csv
ORD000119,2026-01-25 09:48:00,C0007,P022,กรุงเทพมหานคร,Accessory,Web,PAY000119,Bank Transfer,PAID,1,449.1,0.0,449.1,orders_2026_01.csv
ORD000120,2026-01-15 14:33:00,C0092,P020,กรุงเทพมหานคร,Smart Home,Web,PAY000120,PromptPay,PAID,4,499.0,0.0,1996.0,orders_2026_01.csv
ORD000122,2026-01-08 11:24:00,C0051,P010,เชียงใหม่,Smart Home,Mobile App,PAY000122,PromptPay,PAID,3,891.0,0.1,2405.7,orders_2026_01.csv
ORD000123,2026-01-08 18:25:00,C0035,P024,ชลบุรี,Accessory,Mobile App,PAY000123,Bank Transfer,PAID,1,313.95,0.0,313.95,orders_2026_01.csv
ORD000124,2026-01-15 01:56:00,C0012,P007,ขอนแก่น,Notebook,Web,PAY000124,PromptPay,PAID,1,27195.0,0.05,25835.25,orders_2026_01.csv
ORD000125,2026-01-24 01:22:00,C0155,P003,เชียงใหม่,Smartphone,Web,PAY000125,PromptPay,PAID,1,25900.0,0.0,25900.0,orders_2026_01.csv
ORD000126,2026-01-03 20:15:00,C0056,P022,เชียงใหม่,Accessory,Marketplace,PAY000126,Credit Card,PAID,1,523.95,0.05,497.75,orders_2026_01.csv
ORD000127,2026-01-27 13:30:00,C0060,P040,ภูเก็ต,Accessory,Mobile App,PAY000127,Bank Transfer,PAID,3,3790.5,0.05,10802.92,orders_2026_01.csv
ORD000128,2026-01-13 09:03:00,C0138,P012,กรุงเทพมหานคร,Accessory,Mobile App,PAY000128,Credit Card,PAID,3,940.5,0.0,2821.5,orders_2026_01.csv
ORD000129,2026-01-24 16:44:00,C0098,P031,เชียงใหม่,Smart Home,Mobile App,PAY000129,PromptPay,PAID,1,1490.0,0.0,1490.0,orders_2026_01.csv
ORD000131,2026-01-03 03:34:00,C0101,P010,ภูเก็ต,Smart Home,Marketplace,PAY000131,Bank Transfer,PAID,2,891.0,0.05,1692.9,orders_2026_01.csv
ORD000132,2026-01-28 02:40:00,C0146,P022,กรุงเทพมหานคร,Accessory,Marketplace,PAY000132,Credit Card,PAID,1,523.95,0.1,471.56,orders_2026_01.csv
ORD000133,2026-01-11 15:42:00,C0078,P008,ระยอง,Accessory,Marketplace,PAY000133,Credit Card,PAID,3,449.1,0.0,1347.3,orders_2026_01.csv
ORD000134,2026-01-08 15:18:00,C0007,P018,กรุงเทพมหานคร,Smartphone,Marketplace,PAY000134,Bank Transfer,PAID,2,3591.0,0.05,6822.9,orders_2026_01.csv
ORD000135,2026-01-15 04:33:00,C0076,P027,ระยอง,Smartphone,Mobile App,PAY000135,Credit Card,PAID,2,25900.0,0.05,49210.0,orders_2026_01.csv
ORD000136,2026-01-18 05:28:00,C0052,P003,ระยอง,Smartphone,Mobile App,PAY000136,PromptPay,PAID,2,25900.0,0.0,51800.0,orders_2026_01.csv
ORD000137,2026-01-07 00:33:00,C0003,P039,ขอนแก่น,Notebook,Marketplace,PAY000137,PromptPay,PAID,2,990.0,0.05,1881.0,orders_2026_01.csv
ORD000138,2026-01-08 13:50:00,C0145,P030,ภูเก็ต,Smartphone,Mobile App,PAY000138,Credit Card,PAID,1,474.05,0.1,426.65,orders_2026_01.csv
ORD000139,2026-01-05 03:18:00,C0075,P016,ระยอง,Accessory,Web,PAY000139,Credit Card,PAID,1,1490.0,0.0,1490.0,orders_2026_01.csv
ORD000140,2026-01-04 00:24:00,C0132,P023,ชลบุรี,Accessory,Marketplace,PAY000140,Credit Card,PAID,1,269.1,0.05,255.64,orders_2026_01.csv
ORD000141,2026-01-14 11:29:00,C0069,P011,กรุงเทพมหานคร,Accessory,Web,PAY000141,Credit Card,PAID,2,23310.0,0.0,46620.0,orders_2026_01.csv
ORD000143,2026-01-18 23:04:00,C0133,P007,ภูเก็ต,Notebook,Web,PAY000143,Credit Card,PAID,1,25900.0,0.05,24605.0,orders_2026_01.csv
ORD000145,2026-01-11 18:33:00,C0142,P009,ชลบุรี,Notebook,Web,PAY000145,Credit Card,PAID,1,313.95,0.1,282.56,orders_2026_01.csv
ORD000146,2026-01-13 00:04:00,C0096,P023,กรุงเทพมหานคร,Accessory,Marketplace,PAY000146,Bank Transfer,PAID,1,299.0,0.0,299.0,orders_2026_01.csv
ORD000147,2026-01-24 10:34:00,C0114,P001,เชียงใหม่,Notebook,Marketplace,PAY000147,Bank Transfer,PAID,1,299.0,0.0,299.0,orders_2026_01.csv
ORD000149,2026-01-04 10:57:00,C0033,P028,ระยอง,Smartphone,Mobile App,PAY000149,Bank Transfer,PAID,1,299.0,0.05,284.05,orders_2026_01.csv
ORD000150,2026-01-11 10:12:00,C0067,P033,ชลบุรี,Smart Home,Mobile App,PAY000150,Bank Transfer,PAID,2,12900.0,0.0,25800.0,orders_2026_01.csv
ORD000151,2026-01-06 02:33:00,C0004,P036,กรุงเทพมหานคร,Notebook,Mobile App,PAY000151,Credit Card,PAID,1,269.1,0.0,269.1,orders_2026_01.csv
ORD000152,2026-01-20 15:01:00,C0026,P040,เชียงใหม่,Accessory,Marketplace,PAY000152,Bank Transfer,PAID,2,3990.0,0.0,7980.0,orders_2026_01.csv
ORD000153,2026-01-08 04:09:00,C0120,P011,ขอนแก่น,Accessory,Mobile App,PAY000153,Credit Card,PAID,1,25900.0,0.0,25900.0,orders_2026_01.csv
ORD000154,2026-01-04 03:08:00,C0047,P009,ระยอง,Notebook,Marketplace,PAY000154,PromptPay,PAID,4,299.0,0.0,1196.0,orders_2026_01.csv
ORD000155,2026-01-19 06:03:00,C0130,P014,ภูเก็ต,Notebook,Web,PAY000155,PromptPay,PAID,4,990.0,0.0,3960.0,orders_2026_01.csv
ORD000156,2026-01-07 14:35:00,C0014,P001,ขอนแก่น,Notebook,Marketplace,PAY000156,PromptPay,PAID,2,269.1,0.0,538.2,orders_2026_01.csv
ORD000157,2026-01-13 09:28:00,C0054,P024,กรุงเทพมหานคร,Accessory,Marketplace,PAY000157,Credit Card,PAID,1,299.0,0.0,299.0,orders_2026_01.csv
ORD000158,2026-01-14 21:41:00,C0073,P027,ขอนแก่น,Smartphone,Web,PAY000158,Bank Transfer,PAID,1,23310.0,0.05,22144.5,orders_2026_01.csv
ORD000159,2026-01-08 21:42:00,C0141,P006,กรุงเทพมหานคร,Accessory,Mobile App,PAY000159,Credit Card,PAID,1,284.05,0.05,269.85,orders_2026_01.csv
ORD000160,2026-01-15 17:15:00,C0059,P014,ระยอง,Notebook,Mobile App,PAY000160,Credit Card,PAID,2,990.0,0.0,1980.0,orders_2026_01.csv
ORD000161,2026-01-11 15:47:00,C0092,P012,กรุงเทพมหานคร,Accessory,Mobile App,PAY000161,Bank Transfer,PAID,1,891.0,0.05,846.45,orders_2026_01.csv
ORD000162,2026-01-24 04:41:00,C0130,P002,ภูเก็ต,Smartphone,Mobile App,PAY000162,Credit Card,PAID,2,1415.5,0.05,2689.45,orders_2026_01.csv
ORD000163,2026-01-24 22:34:00,C0093,P037,ภูเก็ต,Smart Home,Marketplace,PAY000163,PromptPay,PAID,1,24605.0,0.1,22144.5,orders_2026_01.csv
ORD000164,2026-01-06 04:10:00,C0112,P033,กรุงเทพมหานคร,Smart Home,Marketplace,PAY000164,Credit Card,PAID,3,11610.0,0.0,34830.0,orders_2026_01.csv
ORD000165,2026-01-26 09:37:00,C0002,P024,ชลบุรี,Accessory,Marketplace,PAY000165,PromptPay,PAID,1,299.0,0.0,299.0,orders_2026_01.csv
ORD000166,2026-01-05 14:37:00,C0001,P027,ชลบุรี,Smartphone,Web,PAY000166,Bank Transfer,PAID,3,27195.0,0.0,81585.0,orders_2026_01.csv
ORD000168,2026-01-10 11:34:00,C0004,P019,กรุงเทพมหานคร,Smartphone,Marketplace,PAY000168,Credit Card,PAID,3,3990.0,0.0,11970.0,orders_2026_01.csv
ORD000169,2026-01-23 15:45:00,C0073,P018,ขอนแก่น,Smartphone,Marketplace,PAY000169,Bank Transfer,PAID,1,3591.0,0.1,3231.9,orders_2026_01.csv
ORD000170,2026-01-18 21:15:00,C0004,P020,กรุงเทพมหานคร,Smart Home,Marketplace,PAY000170,Bank Transfer,PAID,1,499.0,0.0,499.0,orders_2026_01.csv
ORD000171,2026-01-26 20:58:00,C0160,P010,กรุงเทพมหานคร,Smart Home,Web,PAY000171,Credit Card,PAID,2,891.0,0.0,1782.0,orders_2026_01.csv
ORD000172,2026-01-20 16:52:00,C0028,P034,ขอนแก่น,Accessory,Mobile App,PAY000172,PromptPay,PAID,1,299.0,0.1,269.1,orders_2026_01.csv
ORD000173,2026-01-03 06:14:00,C0137,P007,ภูเก็ต,Notebook,Marketplace,PAY000173,Credit Card,PAID,3,27195.0,0.0,81585.0,orders_2026_01.csv
ORD000174,2026-01-28 23:11:00,C0075,P018,ระยอง,Smartphone,Marketplace,PAY000174,Credit Card,PAID,4,3990.0,0.05,15162.0,orders_2026_01.csv
ORD000175,2026-01-26 17:56:00,C0088,P004,ภูเก็ต,Smart Home,Marketplace,PAY000175,Credit Card,PAID,3,1564.5,0.0,4693.5,orders_2026_01.csv
