order_id,order_datetime,customer_id,product_id,quantity,unit_price,discount_pct,payment_method,sales_channel,updated_at,source_batch,reason_code
O000214,2026-01-04 07:12:00,C0043,P999,6.0,1451.77,0.0,PromptPay,Store,2026-01-05 23:59:00,1,UNKNOWN_PRODUCT_ID
O000226,2026-03-21 10:12:00,C0153,P017,,1281.37,0.0,Bank Transfer,Online,2026-03-22 23:59:00,1,INACTIVE_PRODUCT;INVALID_QUANTITY
O000249,2026-02-07 21:50:00,,P025,5.0,833.67,15.0,Credit Card,Online,2026-02-08 23:59:00,1,MISSING_CUSTOMER_ID
O000254,2026-01-04 03:25:00,C0002,P043,6.0,,15.0,PromptPay,Online,2026-01-05 23:59:00,1,INVALID_UNIT_PRICE
O000258,2026-03-13 11:31:00,C0058,P017,1.0,1281.37,0.0,Bank Transfer,Online,2026-03-14 23:59:00,1,INACTIVE_PRODUCT
O000262,,C0097,P044,5.0,766.0,0.0,Credit Card,Store,2026-02-03 23:59:00,1,INVALID_ORDER_DATETIME
O000267,2026-01-02 16:42:00,C0095,P042,-2.0,733.19,0.0,PromptPay,Marketplace,2026-01-03 23:59:00,1,INVALID_QUANTITY
O000278,2026-02-01 02:14:00,C0022,P035,4.0,0.0,,,Marketplace,2026-02-02 23:59:00,1,INVALID_UNIT_PRICE;INVALID_DISCOUNT_PCT;INVALID_PAYMENT_METHOD
O000284,2026-01-05 17:05:00,C0110,P017,3.0,1281.37,10.0,Cash,Online,2026-01-06 23:59:00,1,INACTIVE_PRODUCT
O000291,,C0165,P041,2.0,1291.92,0.0,Cash,Online,2026-01-06 23:59:00,1,INVALID_ORDER_DATETIME
O000298,2026-01-14 00:46:00,C9999,P037,2.0,185.91,10.0,Bank Transfer,Store,2026-01-15 23:59:00,1,UNKNOWN_CUSTOMER_ID
O000303,2026-03-02 22:11:00,C0137,P007,4.0,619.54,120.0,PromptPay,Online,2026-03-03 23:59:00,1,INVALID_DISCOUNT_PCT
O000318,2026-01-02 00:14:00,C0134,P017,5.0,1281.37,0.0,Credit Card,Store,2026-01-03 23:59:00,1,INACTIVE_PRODUCT
O000321,2026-01-12 07:42:00,C0073,P999,5.0,624.66,10.0,Bank Transfer,Online,2026-01-13 23:59:00,1,UNKNOWN_PRODUCT_ID
O000332,2026-02-18 19:38:00,,P017,4.0,1281.37,0.0,Bank Transfer,Marketplace,2026-02-19 23:59:00,1,MISSING_CUSTOMER_ID;INACTIVE_PRODUCT
O000339,2026-03-15 12:23:00,C0146,P014,,358.74,0.0,Credit Card,Online,2026-03-16 23:59:00,1,INVALID_QUANTITY
O000342,2026-02-24 10:13:00,C0156,P034,1.0,530.09,15.0,Cash,Store,2026-02-25 23:59:00,1,INACTIVE_PRODUCT
O000350,2026-03-12 21:39:00,C0171,P017,6.0,1281.37,0.0,PromptPay,Store,2026-03-13 23:59:00,1,INACTIVE_PRODUCT
O000356,2026-01-19 11:29:00,C0146,P042,-2.0,733.19,0.0,Bank Transfer,Store,2026-01-20 23:59:00,1,INVALID_QUANTITY
O000371,2026-02-09 02:38:00,C0098,P034,4.0,530.09,10.0,Cash,Marketplace,2026-02-10 23:59:00,1,INACTIVE_PRODUCT
O000376,2026-02-27 12:55:00,C0081,P034,3.0,530.09,0.0,Credit Card,Store,2026-02-28 23:59:00,1,INACTIVE_PRODUCT
O000381,2026-01-17 13:54:00,C0054,P005,1.0,,10.0,Credit Card,Marketplace,2026-01-18 23:59:00,1,INVALID_UNIT_PRICE
O000388,,C0086,P027,1.0,817.79,15.0,Bank Transfer,Marketplace,2026-01-25 23:59:00,1,INVALID_ORDER_DATETIME
O000393,,C0148,P037,5.0,185.91,10.0,Bank Transfer,Online,2026-02-25 23:59:00,1,INVALID_ORDER_DATETIME
O000404,2026-01-30 04:14:00,C0163,P016,5.0,878.59,120.0,Credit Card,Store,2026-01-31 23:59:00,1,INVALID_DISCOUNT_PCT
O000412,2026-03-03 09:07:00,C0058,P017,6.0,1281.37,15.0,Cash,Online,2026-03-04 23:59:00,1,INACTIVE_PRODUCT
O000415,2026-01-12 21:48:00,,P030,1.0,915.53,10.0,Credit Card,Marketplace,2026-01-13 23:59:00,1,MISSING_CUSTOMER_ID
O000417,2026-02-09 22:58:00,C0021,P011,3.0,0.0,,Transfer,Marketplace,2026-02-10 23:59:00,1,INVALID_UNIT_PRICE;INVALID_DISCOUNT_PCT;INVALID_PAYMENT_METHOD
O000428,2026-04-04 13:52:00,C0150,P999,4.0,450.41,15.0,PromptPay,Marketplace,2026-04-06 23:59:00,2,UNKNOWN_PRODUCT_ID
O000445,2026-03-24 01:46:00,C0015,P039,-2.0,688.83,0.0,PromptPay,Store,2026-03-26 23:59:00,2,INVALID_QUANTITY
O000447,2026-02-16 15:50:00,C9999,P001,4.0,29.67,5.0,PromptPay,Online,2026-02-18 23:59:00,2,UNKNOWN_CUSTOMER_ID
O000452,2026-04-05 15:06:00,C0126,P036,,220.86,0.0,Credit Card,Store,2026-04-07 23:59:00,2,INVALID_QUANTITY
O000472,2026-04-26 10:44:00,C0067,P034,6.0,530.09,10.0,Bank Transfer,Online,2026-04-28 23:59:00,2,INACTIVE_PRODUCT
O000485,,C0077,P010,4.0,1366.97,5.0,Bank Transfer,Online,2026-05-05 23:59:00,2,INVALID_ORDER_DATETIME
O000491,2026-04-13 19:01:00,C0050,P034,4.0,530.09,0.0,Bank Transfer,Online,2026-04-15 23:59:00,2,INACTIVE_PRODUCT
O000498,2026-04-30 23:16:00,,P035,3.0,997.99,0.0,Credit Card,Marketplace,2026-05-02 23:59:00,2,MISSING_CUSTOMER_ID
O000499,2026-04-22 07:50:00,C0072,P034,1.0,530.09,15.0,Cash,Marketplace,2026-04-24 23:59:00,2,INACTIVE_PRODUCT
O000501,2026-03-08 15:47:00,C0165,P017,3.0,1281.37,15.0,Credit Card,Marketplace,2026-03-10 23:59:00,2,INACTIVE_PRODUCT
O000505,2026-03-25 23:29:00,C0154,P009,4.0,192.56,120.0,Cash,Marketplace,2026-03-27 23:59:00,2,INVALID_DISCOUNT_PCT
O000508,2026-04-30 07:07:00,C0036,P013,5.0,,15.0,Credit Card,Online,2026-05-02 23:59:00,2,INVALID_UNIT_PRICE
O000523,2026-03-17 08:59:00,C0080,P034,2.0,530.09,15.0,PromptPay,Store,2026-03-19 23:59:00,2,INACTIVE_PRODUCT
O000524,,C0075,P009,3.0,192.56,0.0,Bank Transfer,Marketplace,2026-03-08 23:59:00,2,INVALID_ORDER_DATETIME
O000530,2026-03-25 09:36:00,C0142,P017,1.0,1281.37,0.0,PromptPay,Online,2026-03-27 23:59:00,2,INACTIVE_PRODUCT
O000534,2026-03-22 19:50:00,C0044,P004,-2.0,1451.77,0.0,Bank Transfer,Online,2026-03-24 23:59:00,2,INVALID_QUANTITY
O000535,2026-04-17 04:13:00,C0100,P999,5.0,649.9,15.0,Bank Transfer,Store,2026-04-19 23:59:00,2,UNKNOWN_PRODUCT_ID
O000542,2026-04-10 14:43:00,C0137,P034,6.0,530.09,0.0,Credit Card,Online,2026-04-12 23:59:00,2,INACTIVE_PRODUCT
O000545,2026-02-17 20:39:00,C0132,P017,2.0,1281.37,10.0,Credit Card,Marketplace,2026-02-19 23:59:00,2,INACTIVE_PRODUCT
O000552,2026-04-24 15:03:00,C0038,P034,1.0,530.09,10.0,PromptPay,Online,2026-04-26 23:59:00,2,INACTIVE_PRODUCT
O000556,2026-04-21 06:20:00,C0177,P001,6.0,0.0,,,Store,2026-04-23 23:59:00,2,INVALID_UNIT_PRICE;INVALID_DISCOUNT_PCT;INVALID_PAYMENT_METHOD
O000565,2026-04-14 04:24:00,C0009,P033,,654.4,5.0,Cash,Marketplace,2026-04-16 23:59:00,2,INVALID_QUANTITY
O000581,2026-04-23 12:25:00,,P010,3.0,1366.97,15.0,Credit Card,Online,2026-04-25 23:59:00,2,MISSING_CUSTOMER_ID
O000582,,C0140,P009,4.0,192.56,0.0,PromptPay,Online,2026-04-22 23:59:00,2,INVALID_ORDER_DATETIME
O000584,2026-03-18 15:07:00,C0114,P034,3.0,530.09,15.0,PromptPay,Online,2026-03-20 23:59:00,2,INACTIVE_PRODUCT
O000596,2026-03-31 05:33:00,C9999,P036,5.0,220.86,0.0,Cash,Online,2026-04-02 23:59:00,2,UNKNOWN_CUSTOMER_ID
O000599,2026-04-25 16:12:00,C0138,P017,1.0,1281.37,0.0,PromptPay,Store,2026-04-27 23:59:00,2,INACTIVE_PRODUCT
O000606,2026-03-22 11:21:00,C0125,P042,6.0,733.19,120.0,Credit Card,Store,2026-03-24 23:59:00,2,INVALID_DISCOUNT_PCT
O000623,2026-02-16 02:04:00,C0086,P041,-2.0,1291.92,15.0,Credit Card,Online,2026-02-18 23:59:00,2,INVALID_QUANTITY
O000635,2026-04-22 15:41:00,C0153,P010,1.0,,0.0,Credit Card,Store,2026-04-24 23:59:00,2,INVALID_UNIT_PRICE
O000642,2026-02-17 10:10:00,C0018,P999,5.0,979.4,5.0,Credit Card,Online,2026-02-19 23:59:00,2,UNKNOWN_PRODUCT_ID
O000655,,C0147,P037,3.0,185.91,0.0,Bank Transfer,Online,2026-04-24 23:59:00,2,INVALID_ORDER_DATETIME
O000656,2026-04-10 01:48:00,C0174,P034,1.0,530.09,5.0,Bank Transfer,Marketplace,2026-04-12 23:59:00,2,INACTIVE_PRODUCT
O000664,2026-04-11 00:34:00,,P004,3.0,1451.77,15.0,Bank Transfer,Store,2026-04-13 23:59:00,2,MISSING_CUSTOMER_ID
O000678,2026-02-16 02:58:00,C0137,P046,,187.09,0.0,PromptPay,Store,2026-02-18 23:59:00,2,INVALID_QUANTITY
O000679,,C0075,P040,2.0,1472.44,0.0,PromptPay,Online,2026-04-04 23:59:00,2,INVALID_ORDER_DATETIME
O000695,2026-04-06 11:55:00,C0119,P017,3.0,15.0,,,Marketplace,2026-04-08 23:59:00,2,INACTIVE_PRODUCT;INVALID_DISCOUNT_PCT;INVALID_PAYMENT_METHOD
O000702,2026-04-02 20:37:00,C0147,P034,2.0,530.09,0.0,Cash,Online,2026-04-04 23:59:00,2,INACTIVE_PRODUCT
O000707,2026-03-02 09:06:00,C0079,P044,2.0,766.0,120.0,Bank Transfer,Store,2026-03-04 23:59:00,2,INVALID_DISCOUNT_PCT
O000712,2026-02-15 22:17:00,C0026,P040,-2.0,1472.44,10.0,Bank Transfer,Store,2026-02-17 23:59:00,2,INVALID_QUANTITY
O000736,2026-03-16 08:50:00,C0022,P034,3.0,530.09,0.0,Credit Card,Online,2026-03-18 23:59:00,2,INACTIVE_PRODUCT
O000740,2026-05-01 10:35:00,C0133,P017,3.0,1281.37,15.0,Bank Transfer,Store,2026-05-03 23:59:00,2,INACTIVE_PRODUCT
O000745,2026-02-22 01:04:00,C9999,P021,1.0,1114.51,0.0,PromptPay,Marketplace,2026-02-24 23:59:00,2,UNKNOWN_CUSTOMER_ID
O000747,2026-04-07 20:13:00,,P014,1.0,358.74,0.0,Credit Card,Store,2026-04-09 23:59:00,2,MISSING_CUSTOMER_ID
O000749,2026-04-18 13:19:00,C0180,P999,1.0,204.81,0.0,Cash,Online,2026-04-20 23:59:00,2,UNKNOWN_PRODUCT_ID
O000762,2026-03-02 10:01:00,C0154,P025,5.0,,0.0,PromptPay,Store,2026-03-04 23:59:00,2,INVALID_UNIT_PRICE
O000769,2026-03-08 13:16:00,C0079,P017,5.0,1281.37,15.0,PromptPay,Marketplace,2026-03-10 23:59:00,2,INACTIVE_PRODUCT
O000776,,C0120,P047,2.0,613.02,0.0,Cash,Online,2026-04-29 23:59:00,2,INVALID_ORDER_DATETIME
O000786,,C0044,P008,6.0,292.37,5.0,Cash,Marketplace,2026-04-09 23:59:00,2,INVALID_ORDER_DATETIME
O000791,2026-04-11 13:31:00,C0058,P040,,1472.44,0.0,Credit Card,Store,2026-04-13 23:59:00,2,INVALID_QUANTITY
O000801,2026-04-05 07:59:00,C0030,P044,-2.0,766.0,0.0,Credit Card,Marketplace,2026-04-07 23:59:00,2,INVALID_QUANTITY
O000805,2026-04-04 12:58:00,C0171,P034,6.0,530.09,0.0,Credit Card,Store,2026-04-06 23:59:00,2,INACTIVE_PRODUCT
O000808,2026-02-20 13:39:00,C0168,P008,5.0,292.37,120.0,Cash,Store,2026-02-22 23:59:00,2,INVALID_DISCOUNT_PCT
O000824,2026-04-27 14:46:00,C0022,P017,1.0,1281.37,15.0,PromptPay,Marketplace,2026-04-29 23:59:00,2,INACTIVE_PRODUCT
O000830,2026-04-08 01:48:00,,P009,1.0,192.56,0.0,Bank Transfer,Online,2026-04-10 23:59:00,2,MISSING_CUSTOMER_ID
O000834,2026-04-30 17:12:00,C0058,P032,3.0,10.0,,,Online,2026-05-02 23:59:00,2,INVALID_DISCOUNT_PCT;INVALID_PAYMENT_METHOD
O000428,2026-04-04 13:52:00,C0150,P999,4.0,450.41,15.0,PromptPay,Marketplace,2026-04-06 23:59:00,2,UNKNOWN_PRODUCT_ID
O000445,2026-03-24 01:46:00,C0015,P039,-2.0,688.83,0.0,PromptPay,Store,2026-03-26 23:59:00,2,INVALID_QUANTITY
O000844,2026-05-22 02:07:00,C0098,P034,4.0,530.09,0.0,Credit Card,Marketplace,2026-05-25 23:59:00,2,INACTIVE_PRODUCT
O000855,2026-05-11 15:48:00,C0105,P017,6.0,1281.37,5.0,Bank Transfer,Online,2026-05-14 23:59:00,2,INACTIVE_PRODUCT
O000856,2026-05-15 06:36:00,C0089,P999,6.0,915.53,0.0,Bank Transfer,Marketplace,2026-05-18 23:59:00,2,UNKNOWN_PRODUCT_ID
O000873,,C0109,P001,6.0,29.67,5.0,PromptPay,Marketplace,2026-06-09 23:59:00,2,INVALID_ORDER_DATETIME
O000889,2026-06-15 21:01:00,C0163,P020,6.0,,0.0,Credit Card,Store,2026-06-18 23:59:00,3,INVALID_UNIT_PRICE
O000890,2026-05-28 01:59:00,C0061,P015,-2.0,320.33,15.0,Bank Transfer,Store,2026-05-31 23:59:00,3,INVALID_QUANTITY
O000894,2026-04-28 09:49:00,C9999,P022,5.0,840.27,10.0,Bank Transfer,Online,2026-05-01 23:59:00,3,UNKNOWN_CUSTOMER_ID
O000904,2026-06-16 06:47:00,C0152,P033,,654.4,0.0,Bank Transfer,Marketplace,2026-06-19 23:59:00,3,INVALID_QUANTITY
O000909,2026-06-10 21:37:00,C0058,P009,1.0,192.56,120.0,PromptPay,Marketplace,2026-06-13 23:59:00,3,INVALID_DISCOUNT_PCT
O000913,2026-05-26 00:19:00,,P023,5.0,784.71,5.0,Bank Transfer,Marketplace,2026-05-29 23:59:00,3,MISSING_CUSTOMER_ID
O000917,,C0032,P022,3.0,840.27,0.0,Credit Card,Store,2026-05-10 23:59:00,3,INVALID_ORDER_DATETIME
O000955,2026-04-02 10:37:00,C0163,P017,1.0,1281.37,10.0,PromptPay,Marketplace,2026-04-05 23:59:00,3,INACTIVE_PRODUCT
O000963,2026-05-20 19:21:00,C0069,P999,1.0,549.89,0.0,Cash,Online,2026-05-23 23:59:00,3,UNKNOWN_PRODUCT_ID
O000970,,C0040,P040,2.0,1472.44,0.0,Cash,Online,2026-06-20 23:59:00,3,INVALID_ORDER_DATETIME
O000973,2026-06-16 00:22:00,C0055,P043,2.0,10.0,,Transfer,Marketplace,2026-06-19 23:59:00,3,INVALID_DISCOUNT_PCT;INVALID_PAYMENT_METHOD
O000976,2026-06-05 00:50:00,C0036,P034,4.0,530.09,0.0,Credit Card,Marketplace,2026-06-08 23:59:00,3,INACTIVE_PRODUCT
O000979,2026-04-16 01:32:00,C0049,P047,-2.0,613.02,0.0,Cash,Store,2026-04-19 23:59:00,3,INVALID_QUANTITY
O000996,2026-05-04 19:07:00,,P035,4.0,997.99,0.0,Cash,Online,2026-05-07 23:59:00,3,MISSING_CUSTOMER_ID
O001010,2026-04-17 03:46:00,C0102,P020,2.0,62.79,120.0,PromptPay,Marketplace,2026-04-20 23:59:00,3,INVALID_DISCOUNT_PCT
O001016,2026-06-05 03:57:00,C0105,P017,5.0,,10.0,Bank Transfer,Store,2026-06-08 23:59:00,3,INACTIVE_PRODUCT;INVALID_UNIT_PRICE
O001017,2026-05-31 23:42:00,C0010,P009,,192.56,0.0,Bank Transfer,Marketplace,2026-06-03 23:59:00,3,INVALID_QUANTITY
O001043,2026-04-07 15:03:00,C9999,P029,5.0,450.41,0.0,Bank Transfer,Store,2026-04-10 23:59:00,3,UNKNOWN_CUSTOMER_ID
O001048,,C0023,P037,2.0,185.91,0.0,Cash,Store,2026-06-18 23:59:00,3,INVALID_ORDER_DATETIME
O001051,2026-04-21 19:00:00,C0097,P034,4.0,530.09,10.0,PromptPay,Store,2026-04-24 23:59:00,3,INACTIVE_PRODUCT
O001052,2026-06-05 13:08:00,C0120,P017,4.0,1281.37,10.0,PromptPay,Store,2026-06-08 23:59:00,3,INACTIVE_PRODUCT
O001058,2026-04-06 21:32:00,C0151,P017,4.0,1281.37,0.0,Credit Card,Marketplace,2026-04-09 23:59:00,3,INACTIVE_PRODUCT
O001059,2026-04-10 12:32:00,C0028,P034,1.0,530.09,10.0,PromptPay,Online,2026-04-13 23:59:00,3,INACTIVE_PRODUCT
O001067,,C0080,P042,6.0,733.19,15.0,Credit Card,Marketplace,2026-04-28 23:59:00,3,INVALID_ORDER_DATETIME
O001068,2026-04-20 01:42:00,C0145,P042,-2.0,733.19,15.0,Bank Transfer,Online,2026-04-23 23:59:00,3,INVALID_QUANTITY
O001070,2026-05-13 06:50:00,C0023,P999,2.0,840.27,15.0,Cash,Store,2026-05-16 23:59:00,3,UNKNOWN_PRODUCT_ID
O001079,2026-06-12 04:11:00,,P044,2.0,766.0,0.0,Bank Transfer,Marketplace,2026-06-15 23:59:00,3,MISSING_CUSTOMER_ID
